Main Element             
Coordinates         
0.96    0.0098          
0.94    0.0138         
0.92    0.0168          
0.9 0.0198          
0.878   0.0219          
0.868   0.0223          
0.858   0.0228          
0.848   0.0234          
0.838   0.023           
0.828   0.0228          
0.818   0.0223          
0.808   0.0218         
0.798   0.0207         
0.788   0.019           
0.778   0.0168          
0.768   0.0141         
0.758   0.011           
0.748   0.007           
0.738   0.0023          
0.733   0           
0.728   -0.0033         
0.722   -0.0078         
0.718   -0.0113        
0.714   -0.0155         
0.712   -0.0179         
0.7103 -0.02            
0.71    -0.0235        
0.7 -0.034          
0.675   -0.0384         
0.65    -0.0428         
0.625   -0.0469     
0.6 -0.0508         
0.575   -0.054          
0.55    -0.057          
0.5 -0.061         
0.45    -0.0635         
0.4 -0.0649         
0.35    -0.0652        
0.3 -0.0645         
0.25    -0.0627         
0.2 -0.0593         
0.175   -0.057         
0.15    -0.0543         
0.125   -0.051          
0.1 -0.047          
0.075   -0.0421        
0.05    -0.0358         
0.0375 -0.0319          
0.025   -0.0269       
0.0125 -0.0205         
0.005   -0.0138             
0.002   -0.0093             
0.  0.              
0.002   0.013               
0.005   0.0204              
0.0125 0.0307                   
0.025   0.0417              
0.0375 0.04965                  
0.05    0.05589             
0.075   0.06551             
0.1 0.073               
0.125   0.079               
0.15    0.084               
0.175   0.0884              
0.2 0.092               
0.25    0.0977              
0.3 0.1016              
0.35    0.104               
0.4 0.10491             
0.45    0.10445             
0.5 0.10258             
0.55    0.0991              
0.575   0.09668             
0.6 0.09371             
0.625   0.09006             
0.65    0.08599             
0.675   0.08136             
0.7 0.07634             
0.725   0.07092             
0.75    0.06513             
0.775   0.05907             
0.8 0.05286             
0.825   0.04646             
0.85    0.03988             
0.875   0.03315             
0.9 0.02639             
0.925   0.01961             
0.95    0.01287             
0.96    0.0098              
